作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
000829,飛び出しナイフ,とびだしナイフ,とひたしないふ,,,,,NDC 913,新字新仮名,あり,1998-12-01,2022-02-28,https://www.aozora.gr.jp/cards/000054/card829.html,000054,佐野,良二,さの,りょうじ,さの,りようし,Sano,Ryoji,著者,1940,,あり,闇の力,構想社,1996（平成8）年6月25日,,,,,,,,,,,,,,佐野良二,,http://ryoji-kobo.jp/yamino/tobidashi.zip,2022-02-28,ShiftJIS,JIS X 0208,4,http://ryoji-kobo.jp/yamino/tobidashi.htm,2022-02-28,ShiftJIS,JIS X 0208,4
000898,闇の力,やみのちから,やみのちから,,,,,NDC 913,新字新仮名,あり,1998-12-01,2022-02-28,https://www.aozora.gr.jp/cards/000054/card898.html,000054,佐野,良二,さの,りょうじ,さの,りようし,Sano,Ryoji,著者,1940,,あり,闇の力,構想社,1996（平成8）年6月25日,,,,,,,,,,,,,,佐野良二,,http://ryoji-kobo.jp/yamino/yamino.zip,2022-02-28,ShiftJIS,JIS X 0208,4,http://ryoji-kobo.jp/yamino/yamino.htm,2022-02-28,ShiftJIS,JIS X 0208,4
000887,われらリフター,われらリフター,われらりふたあ,,,,,NDC 913,新字新仮名,あり,1998-11-22,2022-02-28,https://www.aozora.gr.jp/cards/000054/card887.html,000054,佐野,良二,さの,りょうじ,さの,りようし,Sano,Ryoji,著者,1940,,あり,われらリフター,近代文芸社,1993（平成5）年3月20日,,,,,,,,,,,,,,佐野良二,,http://ryoji-kobo.jp/warera/warera.zip,2022-02-28,ShiftJIS,JIS X 0208,4,http://ryoji-kobo.jp/warera/warera.htm,2022-02-28,ShiftJIS,JIS X 0208,4
060544,アメリカ独立宣言,アメリカどくりつせんげん,あめりかとくりつせんけん,,,,,NDC 312,新字新仮名,あり,2020-07-04,2020-06-27,https://www.aozora.gr.jp/cards/001189/card60544.html,001189,ジェファーソン,トマス,ジェファーソン,トマス,しえふああそん,とます,Jefferson,Thomas,著者,1743-04-13,1826-07-04,なし,,,,,,,,,,,,,,,,,加藤　光一,,https://mega.nz/file/ugFFyACK#r3c6BO3jpUCl8QVi9vx9H8fmuBKHgzM_V1LPThEpjFY,2020-04-13,UTF-8,Unicode,0,,,,,
058203,スワーネルブルフ城の白鳥,スワーネルブルフじょうのはくちょう,すわあねるふるふしようのはくちよう,,,The Empty Moat,,NDC K933,新字新仮名,あり,2017-02-18,2017-01-08,https://www.aozora.gr.jp/cards/001919/card58203.html,001919,シェミン,マーガレット,シェミン,マーガレット,しえみん,まあかれつと,Shemin,Margaretha,著者,192X,1976,あり,,,,,,,,,,,,,,,,,宝探子,,,,,,,http://blog.livedoor.jp/takara_sagasi/,2016-12-24,UTF-8,Unicode,0
057878,通貨改革,つうかかいかく,つうかかいかく,アイスランドのためのより優れた通貨制度,アイスランドのためのよりすぐれたつうかせいど,Monetary Reform - A Better Monetary System for Iceland,,NDC 337,新字新仮名,あり,2016-07-22,2016-06-07,https://www.aozora.gr.jp/cards/001877/card57878.html,001877,シガーヨンスソン,フロスティ,シガーヨンスソン,フロスティ,しかあよんすそん,ふろすてい,Sigurjónsson,Frosti,著者,1962-12-19,,あり,,,,,,,,,,,,,,,,,早川健治,,,,,,,,,,,
000506,きみとは往けない。,きみとはいけない。,きみとはいけない,,,,,NDC 911,新字新仮名,あり,1997-10-05,2014-09-17,https://www.aozora.gr.jp/cards/000084/card506.html,000084,清水,哲男,しみず,てつお,しみす,てつお,Shimizu,Tetsuo,著者,1938-02-15,,あり,,,,,,,,,,,,,,,,,渡辺洋,,,,,,,,,,,
000801,スピーチ・バルーン,スピーチ・バルーン,すひいちはるうん,,,,,NDC 911,新字新仮名,あり,1997-10-05,2014-09-17,https://www.aozora.gr.jp/cards/000084/card801.html,000084,清水,哲男,しみず,てつお,しみす,てつお,Shimizu,Tetsuo,著者,1938-02-15,,あり,スピーチ・バルーン,思潮社,1975（昭和50）年,,,,,,,,,,,,,,鈴木志郎康,,,,,,,http://www.catnet.ne.jp/srys/e-poem-lib/simizutetuo/speechmokuji.html,1997-10-05,ShiftJIS,JIS X 0208,0
000370,増殖する俳句歳時記,ぞうしょくするはいくさいじき,そうしよくするはいくさいしき,,,,,NDC 911,新字新仮名,あり,1998-01-26,2014-09-17,https://www.aozora.gr.jp/cards/000084/card370.html,000084,清水,哲男,しみず,てつお,しみす,てつお,Shimizu,Tetsuo,著者,1938-02-15,,あり,,,,,,,,,,,,,,,,,清水哲男,,,,,,,http://zouhai.com/,2012-02-22,ShiftJIS,JIS X 0208,1
000699,RETURN,リターン,りたあん,,,,,NDC 914,新字新仮名,あり,1997-10-05,2014-09-17,https://www.aozora.gr.jp/cards/000084/card699.html,000084,清水,哲男,しみず,てつお,しみす,てつお,Shimizu,Tetsuo,著者,1938-02-15,,あり,,,,,,,,,,,,,,,,,渡辺洋,,,,,,,,,,,
002265,清水鱗造　週刊詩,しみずりんぞう　しゅうかんし,しみすりんそうしゆうかんし,,,,,NDC 911,新字新仮名,あり,1998-02-06,2014-09-17,https://www.aozora.gr.jp/cards/000090/card2265.html,000090,清水,鱗造,しみず,りんぞう,しみす,りんそう,Shimizu,Rinzo,著者,1950,,あり,,,,,,,,,,,,,,,,,,,,,,,,http://www.kt.rim.or.jp/~shimirin/week/poem_w.html,1998-02-06,ShiftJIS,JIS X 0208,0
002266,清水鱗造　連続コラム,しみずりんぞう　れんぞくコラム,しみすりんそうれんそくこらむ,,,,,NDC 914,新字新仮名,あり,1998-02-06,2014-09-17,https://www.aozora.gr.jp/cards/000090/card2266.html,000090,清水,鱗造,しみず,りんぞう,しみす,りんそう,Shimizu,Rinzo,著者,1950,,あり,,,,,,,,,,,,,,,,,,,,,,,,http://www.kt.rim.or.jp/~shimirin/si/col_s.html,1998-02-06,ShiftJIS,JIS X 0208,0
000518,1992～1993年　現代詩時評コラム,せんきゅうひゃくきゅうじゅうに～せんきゅうひゃくきゅうじゅうさんねん　げんだいしじひょうコラム,せんきゆうひやくきゆうしゆうにせんきゆうひやくきゆうしゆうさんねんけんたいししひようこらむ,,,,,NDC 911,新字新仮名,あり,1998-02-04,2014-09-17,https://www.aozora.gr.jp/cards/000090/card518.html,000090,清水,鱗造,しみず,りんぞう,しみす,りんそう,Shimizu,Rinzo,著者,1950,,あり,「週刊読書人」連載コラム,,,,,,,,,,,,,,,,,,,,,,,http://www.kt.rim.or.jp/~shimirin/do92ji.html,1998-02-04,ShiftJIS,JIS X 0208,0
000368,裸の王様,はだかのおおさま,はたかのおおさま,,,Golyi Korol,,NDC 982,新字新仮名,あり,2000-07-21,2014-09-17,https://www.aozora.gr.jp/cards/000210/card368.html,000210,シュヴァルツ,エフゲーニイ,シュヴァルツ,エフゲーニイ,しゆうあるつ,えふけえにい,Shvarts,Evgeniy,著者,1896,1958,あり,,,,,,,,,,,,,,,,,能美武功,,,,,,,http://www.01.246.ne.jp/~tnoumi/noumi1/rus.html,2000-07-21,ShiftJIS,JIS X 0208,0
